RANK,FIRST_NAME,DATA1,DATA2,
56,JUSTIN,0.31%,"1,015,631",
57,TERRY,0.31%,"1,015,631",
58,GERALD,0.31%,"1,009,099",
59,KEITH,0.31%,"1,005,833",
60,SAMUEL,0.31%,"999,302",
61,WILLIE,0.30%,"986,239",
62,RALPH,0.28%,"920,925",
63,LAWRENCE,0.28%,"920,925",
64,NICHOLAS,0.28%,"898,066",
65,ROY,0.27%,"891,534",
66,BENJAMIN,0.27%,"881,737",
67,BRUCE,0.26%,"858,877",
68,BRANDON,0.26%,"849,080",
69,ADAM,0.26%,"845,815",
70,HARRY,0.25%,"819,689",
71,FRED,0.25%,"819,689",
72,WAYNE,0.25%,"813,158",
73,BILLY,0.25%,"809,892",
74,STEVE,0.25%,"803,360",
75,LOUIS,0.24%,"793,563",
76,JEREMY,0.24%,"790,298",
77,AARON,0.24%,"783,766",
78,RANDY,0.23%,"757,641",
79,HOWARD,0.23%,"751,109",
80,EUGENE,0.23%,"751,109",
81,CARLOS,0.23%,"747,844",
82,RUSSELL,0.22%,"731,515",
83,BOBBY,0.22%,"728,250",
84,VICTOR,0.22%,"724,984",
85,MARTIN,0.22%,"705,390",
86,ERNEST,0.22%,"702,124",
87,PHILLIP,0.21%,"695,593",
88,TODD,0.21%,"695,593",
89,JESSE,0.21%,"682,530",
90,CRAIG,0.21%,"672,733",
91,ALAN,0.20%,"666,201",
92,SHAWN,0.20%,"653,139",
93,CLARENCE,0.20%,"643,342",
94,SEAN,0.20%,"643,342",
95,PHILIP,0.20%,"643,342",
96,CHRIS,0.20%,"643,342",
97,JOHNNY,0.20%,"636,810",
98,EARL,0.19%,"630,279",
99,JIMMY,0.19%,"623,747",
100,ANTONIO,0.19%,"620,482",
101,DANNY,0.19%,"620,482",
102,BRYAN,0.19%,"620,482",
103,TONY,0.19%,"620,482",
104,LUIS,0.19%,"617,216",
105,MIKE,0.19%,"617,216",
106,STANLEY,0.19%,"607,419",
107,LEONARD,0.19%,"607,419",
108,NATHAN,0.19%,"604,153",
109,DALE,0.18%,"600,888",
110,MANUEL,0.18%,"591,090",
111,RODNEY,0.18%,"587,825",
112,CURTIS,0.18%,"587,825",
113,NORMAN,0.18%,"578,028",
114,ALLEN,0.17%,"568,231",
115,MARVIN,0.17%,"558,434",
116,VINCENT,0.17%,"548,636",
117,GLENN,0.17%,"545,371",
118,JEFFERY,0.17%,"542,105",
119,TRAVIS,0.17%,"542,105",
120,JEFF,0.17%,"542,105",
121,CHAD,0.17%,"538,839",
122,JACOB,0.17%,"538,839",
123,LEE,0.16%,"529,042",
124,MELVIN,0.16%,"529,042",
125,ALFRED,0.16%,"529,042",
126,KYLE,0.16%,"522,511",
127,FRANCIS,0.16%,"522,511",
128,BRADLEY,0.16%,"519,245",
129,JESUS,0.16%,"506,182",
130,HERBERT,0.16%,"506,182",
131,FREDERICK,0.15%,"502,917",
132,RAY,0.15%,"499,651",
133,JOEL,0.15%,"496,385",
134,EDWIN,0.15%,"483,323",
135,DON,0.15%,"473,525",
136,EDDIE,0.14%,"470,260",
137,RICKY,0.14%,"460,463",
138,TROY,0.14%,"450,666",
139,RANDALL,0.14%,"450,666",
140,BARRY,0.13%,"437,603",
141,ALEXANDER,0.13%,"431,071",
142,BERNARD,0.13%,"414,743",
143,MARIO,0.13%,"408,212",
144,LEROY,0.13%,"408,212",
145,FRANCISCO,0.12%,"404,946",
146,MARCUS,0.12%,"404,946",
147,MICHEAL,0.12%,"401,680",
148,THEODORE,0.12%,"401,680",
149,CLIFFORD,0.12%,"401,680",
150,MIGUEL,0.12%,"398,415",
151,OSCAR,0.12%,"398,415",
152,JAY,0.12%,"385,352",
153,JIM,0.12%,"385,352",
154,TOM,0.12%,"382,086",
155,CALVIN,0.12%,"375,555",
156,ALEX,0.12%,"375,555",
157,JON,0.12%,"375,555",
158,RONNIE,0.11%,"369,023",
159,BILL,0.11%,"365,758",
160,LLOYD,0.11%,"365,758",
161,TOMMY,0.11%,"365,758",
162,LEON,0.11%,"365,758",
163,DEREK,0.11%,"365,758",
164,WARREN,0.11%,"359,226",
165,DARRELL,0.11%,"352,695",
166,JEROME,0.11%,"352,695",
167,FLOYD,0.11%,"349,429",
168,LEO,0.11%,"346,163",
169,ALVIN,0.11%,"342,898",
170,TIM,0.10%,"339,632",
171,WESLEY,0.10%,"339,632",
172,GORDON,0.10%,"339,632",
173,DEAN,0.10%,"339,632",
174,GREG,0.10%,"339,632",
175,JORGE,0.10%,"339,632",
176,DUSTIN,0.10%,"336,366",
177,PEDRO,0.10%,"336,366",
178,DERRICK,0.10%,"336,366",
179,DAN,0.10%,"329,835",
180,LEWIS,0.10%,"323,304",
181,ZACHARY,0.10%,"323,304",
182,COREY,0.10%,"320,038",
183,HERMAN,0.10%,"316,772",
184,MAURICE,0.10%,"316,772",
185,VERNON,0.10%,"316,772",
186,ROBERTO,0.10%,"316,772",
187,CLYDE,0.10%,"310,241",
188,GLEN,0.09%,"306,975",
189,HECTOR,0.09%,"306,975",
190,SHANE,0.09%,"303,709",
191,RICARDO,0.09%,"303,709",
192,SAM,0.09%,"300,444",
193,RICK,0.09%,"297,178",
194,LESTER,0.09%,"297,178",
195,BRENT,0.09%,"293,912",
196,RAMON,0.09%,"293,912",
197,CHARLIE,0.09%,"293,912",
198,TYLER,0.09%,"290,647",
199,GILBERT,0.09%,"290,647",
200,GENE,0.09%,"284,115",
201,MARC,0.09%,"284,115",
202,REGINALD,0.08%,"274,318",
203,RUBEN,0.08%,"267,787",
204,BRETT,0.08%,"267,787",
205,ANGEL,0.08%,"267,787",
206,NATHANIEL,0.08%,"264,521",
207,RAFAEL,0.08%,"264,521",
208,LESLIE,0.08%,"264,521",
209,EDGAR,0.08%,"261,255",
210,MILTON,0.08%,"261,255",
211,RAUL,0.08%,"257,990",
212,BEN,0.08%,"254,724",
213,CHESTER,0.08%,"254,724",
214,CECIL,0.08%,"254,724",
215,DUANE,0.08%,"251,458",
216,FRANKLIN,0.08%,"251,458",
217,ANDRE,0.08%,"248,193",
218,ELMER,0.07%,"241,661",
219,BRAD,0.07%,"238,396",
220,GABRIEL,0.07%,"238,396",
221,RON,0.07%,"235,130",
222,MITCHELL,0.07%,"235,130",
223,ROLAND,0.07%,"235,130",
224,ARNOLD,0.07%,"235,130",
225,HARVEY,0.07%,"235,130",
226,JARED,0.07%,"231,864",
227,ADRIAN,0.07%,"225,333",
228,KARL,0.07%,"225,333",
229,CORY,0.07%,"222,067",
230,CLAUDE,0.07%,"222,067",
231,ERIK,0.07%,"222,067",
232,DARRYL,0.07%,"218,801",
233,JAMIE,0.07%,"215,536",
234,NEIL,0.07%,"215,536",
235,JESSIE,0.07%,"212,270",
236,CHRISTIAN,0.07%,"212,270",
237,JAVIER,0.07%,"212,270",
238,FERNANDO,0.07%,"212,270",
239,CLINTON,0.07%,"212,270",
240,TED,0.06%,"209,004",
241,MATHEW,0.06%,"209,004",
242,TYRONE,0.06%,"209,004",
243,DARREN,0.06%,"209,004",
244,LONNIE,0.06%,"209,004",
245,LANCE,0.06%,"205,739",
246,CODY,0.06%,"205,739",
247,JULIO,0.06%,"205,739",
248,KELLY,0.06%,"205,739",
249,KURT,0.06%,"202,473",
250,ALLAN,0.06%,"199,207",
251,NELSON,0.06%,"199,207",
252,GUY,0.06%,"195,942",
253,CLAYTON,0.06%,"195,942",
254,HUGH,0.06%,"195,942",
255,MAX,0.06%,"192,676",
256,DWAYNE,0.06%,"192,676",
257,DWIGHT,0.06%,"189,410",
258,ARMANDO,0.06%,"189,410",
259,FELIX,0.06%,"189,410",
260,JIMMIE,0.06%,"189,410",
261,EVERETT,0.06%,"186,145",
262,JORDAN,0.06%,"182,879",
263,IAN,0.06%,"182,879",
264,WALLACE,0.06%,"182,879",
265,KEN,0.06%,"179,613",
266,BOB,0.06%,"179,613",
267,JAIME,0.06%,"179,613",
268,CASEY,0.05%,"176,347",
269,ALFREDO,0.05%,"176,347",
270,ALBERTO,0.05%,"173,082",
271,DAVE,0.05%,"173,082",
272,IVAN,0.05%,"173,082",
273,JOHNNIE,0.05%,"169,816",
274,SIDNEY,0.05%,"169,816",
275,BYRON,0.05%,"169,816",
276,JULIAN,0.05%,"169,816",
277,ISAAC,0.05%,"166,550",
278,MORRIS,0.05%,"166,550",
279,CLIFTON,0.05%,"163,285",
280,WILLARD,0.05%,"163,285",
281,DARYL,0.05%,"163,285",
282,ROSS,0.05%,"163,285",
283,VIRGIL,0.05%,"160,019",
284,ANDY,0.05%,"160,019",
285,MARSHALL,0.05%,"160,019",
286,SALVADOR,0.05%,"160,019",
287,PERRY,0.05%,"160,019",
288,KIRK,0.05%,"160,019",
289,SERGIO,0.05%,"160,019",
290,MARION,0.05%,"156,753",
291,TRACY,0.05%,"156,753",
292,SETH,0.05%,"156,753",
293,KENT,0.05%,"156,753",
294,TERRANCE,0.05%,"156,753",
295,RENE,0.05%,"156,753",
296,EDUARDO,0.05%,"153,488",
297,TERRENCE,0.05%,"153,488",
298,ENRIQUE,0.05%,"150,222",
299,FREDDIE,0.05%,"150,222",
300,WADE,0.05%,"146,956",
301,AUSTIN,0.04%,"143,690",
302,STUART,0.04%,"143,690",
303,FREDRICK,0.04%,"140,425",
304,ARTURO,0.04%,"140,425",
305,ALEJANDRO,0.04%,"140,425",
306,JACKIE,0.04%,"140,425",
307,JOEY,0.04%,"140,425",
308,NICK,0.04%,"140,425",
309,LUTHER,0.04%,"140,425",
310,WENDELL,0.04%,"137,159",
311,JEREMIAH,0.04%,"137,159",
312,EVAN,0.04%,"137,159",
313,JULIUS,0.04%,"137,159",
314,DANA,0.04%,"137,159",
315,DONNIE,0.04%,"133,893",
316,OTIS,0.04%,"133,893",
317,SHANNON,0.04%,"130,628",
318,TREVOR,0.04%,"130,628",
319,OLIVER,0.04%,"130,628",
320,LUKE,0.04%,"130,628",
321,HOMER,0.04%,"130,628",
322,GERARD,0.04%,"130,628",
323,DOUG,0.04%,"130,628",
324,KENNY,0.04%,"127,362",
325,HUBERT,0.04%,"127,362",
326,ANGELO,0.04%,"127,362",
327,SHAUN,0.04%,"127,362",
328,LYLE,0.04%,"124,096",
329,MATT,0.04%,"124,096",
330,LYNN,0.04%,"124,096",
331,ALFONSO,0.04%,"124,096",
332,ORLANDO,0.04%,"120,831",
333,REX,0.04%,"120,831",
334,CARLTON,0.04%,"120,831",
335,ERNESTO,0.04%,"120,831",
336,CAMERON,0.04%,"120,831",
337,NEAL,0.04%,"120,831",
338,PABLO,0.04%,"117,565",
339,LORENZO,0.04%,"117,565",
340,OMAR,0.04%,"117,565",
341,WILBUR,0.04%,"117,565",
342,BLAKE,0.04%,"117,565",
343,GRANT,0.04%,"117,565",
344,HORACE,0.04%,"117,565",
345,RODERICK,0.04%,"117,565",
346,KERRY,0.04%,"117,565",
347,ABRAHAM,0.04%,"114,299",
348,WILLIS,0.04%,"114,299",
349,RICKEY,0.04%,"114,299",
350,JEAN,0.04%,"114,299",
351,IRA,0.04%,"114,299",
352,ANDRES,0.03%,"111,034",
353,CESAR,0.03%,"111,034",
354,JOHNATHAN,0.03%,"111,034",
355,MALCOLM,0.03%,"111,034",
356,RUDOLPH,0.03%,"111,034",
357,DAMON,0.03%,"111,034",
358,KELVIN,0.03%,"111,034",
359,RUDY,0.03%,"111,034",
360,PRESTON,0.03%,"111,034",
361,ALTON,0.03%,"107,768",
362,ARCHIE,0.03%,"107,768",
363,MARCO,0.03%,"107,768",
364,WM,0.03%,"107,768",
365,PETE,0.03%,"104,502",
366,RANDOLPH,0.03%,"104,502",
367,GARRY,0.03%,"104,502",
368,GEOFFREY,0.03%,"104,502",
369,JONATHON,0.03%,"104,502",
370,FELIPE,0.03%,"104,502",
371,BENNIE,0.03%,"104,502",
372,GERARDO,0.03%,"104,502",
373,ED,0.03%,"104,502",
374,DOMINIC,0.03%,"104,502",
375,ROBIN,0.03%,"104,502",
376,LOREN,0.03%,"104,502",
377,DELBERT,0.03%,"101,236",
378,COLIN,0.03%,"101,236",
379,GUILLERMO,0.03%,"101,236",
380,EARNEST,0.03%,"101,236",
381,LUCAS,0.03%,"101,236",
382,BENNY,0.03%,"97,971",
383,NOEL,0.03%,"97,971",
384,SPENCER,0.03%,"97,971",
385,RODOLFO,0.03%,"97,971",
386,MYRON,0.03%,"97,971",
387,EDMUND,0.03%,"97,971",
388,GARRETT,0.03%,"94,705",
389,SALVATORE,0.03%,"94,705",
390,CEDRIC,0.03%,"94,705",
391,LOWELL,0.03%,"94,705",
392,GREGG,0.03%,"94,705",
393,SHERMAN,0.03%,"91,439",
394,WILSON,0.03%,"91,439",
395,DEVIN,0.03%,"91,439",
396,SYLVESTER,0.03%,"91,439",
397,KIM,0.03%,"91,439",
398,ROOSEVELT,0.03%,"91,439",
399,ISRAEL,0.03%,"91,439",
400,JERMAINE,0.03%,"91,439",
401,FORREST,0.03%,"88,174",
402,WILBERT,0.03%,"88,174",
403,LELAND,0.03%,"88,174",
404,SIMON,0.03%,"84,908",
405,GUADALUPE,0.03%,"84,908",
406,CLARK,0.03%,"84,908",
407,IRVING,0.03%,"84,908",
408,CARROLL,0.03%,"84,908",
409,BRYANT,0.03%,"84,908",
410,OWEN,0.03%,"84,908",
411,RUFUS,0.03%,"81,642",
412,WOODROW,0.03%,"81,642",
413,SAMMY,0.03%,"81,642",
414,KRISTOPHER,0.03%,"81,642",
415,MACK,0.03%,"81,642",
416,LEVI,0.03%,"81,642",
417,MARCOS,0.03%,"81,642",
418,GUSTAVO,0.03%,"81,642",
419,JAKE,0.03%,"81,642",
420,LIONEL,0.02%,"78,377",
421,MARTY,0.02%,"78,377",
422,TAYLOR,0.02%,"78,377",
423,ELLIS,0.02%,"78,377",
424,DALLAS,0.02%,"78,377",
425,GILBERTO,0.02%,"78,377",
426,CLINT,0.02%,"78,377",
427,NICOLAS,0.02%,"78,377",
428,LAURENCE,0.02%,"78,377",
429,ISMAEL,0.02%,"78,377",
430,ORVILLE,0.02%,"78,377",
431,DREW,0.02%,"78,377",
432,JODY,0.02%,"78,377",
433,ERVIN,0.02%,"75,111",
434,DEWEY,0.02%,"75,111",
435,AL,0.02%,"75,111",
436,WILFRED,0.02%,"75,111",
437,JOSH,0.02%,"75,111",
438,HUGO,0.02%,"75,111",
439,IGNACIO,0.02%,"75,111",
440,CALEB,0.02%,"75,111",
441,TOMAS,0.02%,"75,111",
442,SHELDON,0.02%,"75,111",
443,ERICK,0.02%,"75,111",
444,FRANKIE,0.02%,"75,111",
445,STEWART,0.02%,"71,845",
446,DOYLE,0.02%,"71,845",
447,DARREL,0.02%,"71,845",
448,ROGELIO,0.02%,"71,845",
449,TERENCE,0.02%,"71,845",
450,SANTIAGO,0.02%,"71,845",
451,ALONZO,0.02%,"71,845",
452,ELIAS,0.02%,"71,845",
453,BERT,0.02%,"71,845",
454,ELBERT,0.02%,"71,845",
455,RAMIRO,0.02%,"71,845",
456,CONRAD,0.02%,"71,845",
457,PAT,0.02%,"71,845",
458,NOAH,0.02%,"71,845",
459,GRADY,0.02%,"68,580",
460,PHIL,0.02%,"68,580",
461,CORNELIUS,0.02%,"68,580",
462,LAMAR,0.02%,"68,580",
463,ROLANDO,0.02%,"68,580",
464,CLAY,0.02%,"68,580",
465,PERCY,0.02%,"68,580",
466,DEXTER,0.02%,"68,580",
467,BRADFORD,0.02%,"68,580",
468,MERLE,0.02%,"68,580",
469,DARIN,0.02%,"65,314",
470,AMOS,0.02%,"65,314",
471,TERRELL,0.02%,"65,314",
472,MOSES,0.02%,"65,314",
473,IRVIN,0.02%,"65,314",
474,SAUL,0.02%,"65,314",
475,ROMAN,0.02%,"65,314",
476,DARNELL,0.02%,"65,314",
477,RANDAL,0.02%,"65,314",
478,TOMMIE,0.02%,"65,314",
479,TIMMY,0.02%,"62,048",
480,DARRIN,0.02%,"62,048",
481,WINSTON,0.02%,"62,048",
482,BRENDAN,0.02%,"62,048",
483,TOBY,0.02%,"62,048",
484,VAN,0.02%,"62,048",
485,ABEL,0.02%,"62,048",
486,DOMINICK,0.02%,"62,048",
487,BOYD,0.02%,"62,048",
488,COURTNEY,0.02%,"62,048",
489,JAN,0.02%,"62,048",
490,EMILIO,0.02%,"62,048",
491,ELIJAH,0.02%,"62,048",
492,CARY,0.02%,"62,048",
493,DOMINGO,0.02%,"62,048",
494,SANTOS,0.02%,"62,048",
495,AUBREY,0.02%,"62,048",
496,EMMETT,0.02%,"62,048",
497,MARLON,0.02%,"62,048",
498,EMANUEL,0.02%,"62,048",
499,JERALD,0.02%,"62,048",
500,EDMOND,0.02%,"62,048",
501,EMIL,0.02%,"62,048",
502,DEWAYNE,0.02%,"58,782",
503,WILL,0.02%,"58,782",
504,OTTO,0.02%,"58,782",
505,TEDDY,0.02%,"58,782",
506,REYNALDO,0.02%,"58,782",
507,BRET,0.02%,"58,782",
508,MORGAN,0.02%,"58,782",
509,JESS,0.02%,"58,782",
510,TRENT,0.02%,"58,782",
511,HUMBERTO,0.02%,"58,782",
512,EMMANUEL,0.02%,"58,782",
513,STEPHAN,0.02%,"58,782",
514,LOUIE,0.02%,"58,782",
515,VICENTE,0.02%,"55,517",
516,LAMONT,0.02%,"55,517",
517,STACY,0.02%,"55,517",
518,GARLAND,0.02%,"55,517",
519,MILES,0.02%,"55,517",
520,MICAH,0.02%,"55,517",
521,EFRAIN,0.02%,"55,517",
522,BILLIE,0.02%,"55,517",
523,LOGAN,0.02%,"55,517",
524,HEATH,0.02%,"55,517",
525,RODGER,0.02%,"55,517",
526,HARLEY,0.02%,"55,517",
527,DEMETRIUS,0.02%,"55,517",
528,ETHAN,0.02%,"55,517",
529,ELDON,0.02%,"55,517",
530,ROCKY,0.02%,"52,251",
531,PIERRE,0.02%,"52,251",
532,JUNIOR,0.02%,"52,251",
533,FREDDY,0.02%,"52,251",
534,ELI,0.02%,"52,251",
535,BRYCE,0.02%,"52,251",
536,ANTOINE,0.02%,"52,251",
537,ROBBIE,0.02%,"52,251",
538,KENDALL,0.02%,"52,251",
539,ROYCE,0.02%,"52,251",
540,STERLING,0.02%,"52,251",
541,MICKEY,0.02%,"52,251",
542,CHASE,0.02%,"52,251",
543,GROVER,0.02%,"52,251",
544,ELTON,0.02%,"52,251",
545,CLEVELAND,0.02%,"52,251",
546,DYLAN,0.02%,"52,251",
547,CHUCK,0.02%,"52,251",
548,DAMIAN,0.02%,"52,251",
549,REUBEN,0.02%,"48,985",
550,STAN,0.02%,"48,985",
551,AUGUST,0.02%,"48,985",
552,LEONARDO,0.02%,"48,985",
553,JASPER,0.02%,"48,985",
554,RUSSEL,0.02%,"48,985",
555,ERWIN,0.02%,"48,985",
556,BENITO,0.02%,"48,985",
557,HANS,0.02%,"48,985",
558,MONTE,0.02%,"48,985",
559,BLAINE,0.02%,"48,985",
560,ERNIE,0.02%,"48,985",
561,CURT,0.02%,"48,985",
562,QUENTIN,0.02%,"48,985",
563,AGUSTIN,0.02%,"48,985",
564,MURRAY,0.02%,"48,985",
565,JAMAL,0.01%,"45,720",
566,DEVON,0.01%,"45,720",
567,ADOLFO,0.01%,"45,720",
568,HARRISON,0.01%,"45,720",
569,TYSON,0.01%,"45,720",
570,BURTON,0.01%,"45,720",
571,BRADY,0.01%,"45,720",
572,ELLIOTT,0.01%,"45,720",
573,WILFREDO,0.01%,"45,720",
574,BART,0.01%,"45,720",
575,JARROD,0.01%,"45,720",
576,VANCE,0.01%,"45,720",
577,DENIS,0.01%,"45,720",
578,DAMIEN,0.01%,"45,720",
579,JOAQUIN,0.01%,"45,720",
580,HARLAN,0.01%,"45,720",
581,DESMOND,0.01%,"45,720",
582,ELLIOT,0.01%,"45,720",
583,DARWIN,0.01%,"45,720",
584,ASHLEY,0.01%,"45,720",
585,GREGORIO,0.01%,"45,720",
586,BUDDY,0.01%,"45,720",
587,XAVIER,0.01%,"42,454",
588,KERMIT,0.01%,"42,454",
589,ROSCOE,0.01%,"42,454",
590,ESTEBAN,0.01%,"42,454",
591,ANTON,0.01%,"42,454",
592,SOLOMON,0.01%,"42,454",
593,SCOTTY,0.01%,"42,454",
594,NORBERT,0.01%,"42,454",
595,ELVIN,0.01%,"42,454",
596,WILLIAMS,0.01%,"42,454",
597,NOLAN,0.01%,"42,454",
598,CAREY,0.01%,"42,454",
599,ROD,0.01%,"42,454",
600,QUINTON,0.01%,"42,454",
601,HAL,0.01%,"42,454",
602,BRAIN,0.01%,"42,454",
603,ROB,0.01%,"42,454",
604,ELWOOD,0.01%,"42,454",
605,KENDRICK,0.01%,"42,454",
606,DARIUS,0.01%,"42,454",
607,MOISES,0.01%,"42,454",
608,SON,0.01%,"39,188",
609,MARLIN,0.01%,"39,188",
610,FIDEL,0.01%,"39,188",
611,THADDEUS,0.01%,"39,188",
612,CLIFF,0.01%,"39,188",
613,MARCEL,0.01%,"39,188",
614,ALI,0.01%,"39,188",
615,JACKSON,0.01%,"39,188",
616,RAPHAEL,0.01%,"39,188",
617,BRYON,0.01%,"39,188",
618,ARMAND,0.01%,"39,188",
619,ALVARO,0.01%,"39,188",
620,JEFFRY,0.01%,"39,188",
621,DANE,0.01%,"39,188",
622,JOESPH,0.01%,"39,188",
623,THURMAN,0.01%,"39,188",
624,NED,0.01%,"39,188",
625,SAMMIE,0.01%,"39,188",
626,RUSTY,0.01%,"39,188",
627,MICHEL,0.01%,"39,188",
628,MONTY,0.01%,"39,188",
629,RORY,0.01%,"39,188",
630,FABIAN,0.01%,"39,188",
631,REGGIE,0.01%,"39,188",
632,MASON,0.01%,"39,188",
633,GRAHAM,0.01%,"39,188",
634,KRIS,0.01%,"35,923",
635,ISAIAH,0.01%,"35,923",
636,VAUGHN,0.01%,"35,923",
637,GUS,0.01%,"35,923",
638,AVERY,0.01%,"35,923",
639,LOYD,0.01%,"35,923",
640,DIEGO,0.01%,"35,923",
641,ALEXIS,0.01%,"35,923",
642,ADOLPH,0.01%,"35,923",
643,NORRIS,0.01%,"35,923",
644,MILLARD,0.01%,"35,923",
645,ROCCO,0.01%,"35,923",
646,GONZALO,0.01%,"35,923",
647,DERICK,0.01%,"35,923",
648,RODRIGO,0.01%,"35,923",
649,GERRY,0.01%,"35,923",
650,STACEY,0.01%,"35,923",
651,CARMEN,0.01%,"35,923",
652,WILEY,0.01%,"35,923",
653,RIGOBERTO,0.01%,"35,923",
654,ALPHONSO,0.01%,"35,923",
655,TY,0.01%,"35,923",
656,SHELBY,0.01%,"35,923",
657,RICKIE,0.01%,"35,923",
658,NOE,0.01%,"35,923",
659,VERN,0.01%,"32,657",
660,BOBBIE,0.01%,"32,657",
661,REED,0.01%,"32,657",
662,JEFFERSON,0.01%,"32,657",
663,ELVIS,0.01%,"32,657",
664,BERNARDO,0.01%,"32,657",
665,MAURICIO,0.01%,"32,657",
666,HIRAM,0.01%,"32,657",
667,DONOVAN,0.01%,"32,657",
668,BASIL,0.01%,"32,657",
669,RILEY,0.01%,"32,657",
670,OLLIE,0.01%,"32,657",
671,NICKOLAS,0.01%,"32,657",
672,MAYNARD,0.01%,"32,657",
673,SCOT,0.01%,"32,657",
674,VINCE,0.01%,"32,657",
675,QUINCY,0.01%,"32,657",
676,EDDY,0.01%,"32,657",
677,SEBASTIAN,0.01%,"32,657",
678,FEDERICO,0.01%,"32,657",
679,ULYSSES,0.01%,"32,657",
680,HERIBERTO,0.01%,"32,657",
681,DONNELL,0.01%,"32,657",
682,COLE,0.01%,"32,657",
683,DENNY,0.01%,"32,657",
684,DAVIS,0.01%,"32,657",
685,GAVIN,0.01%,"32,657",
686,EMERY,0.01%,"32,657",
687,WARD,0.01%,"32,657",
688,ROMEO,0.01%,"32,657",
689,JAYSON,0.01%,"32,657",
690,DION,0.01%,"32,657",
691,DANTE,0.01%,"32,657",
692,CLEMENT,0.01%,"32,657",
693,COY,0.01%,"32,657",
694,ODELL,0.01%,"32,657",
695,MAXWELL,0.01%,"32,657",
696,JARVIS,0.01%,"32,657",
697,BRUNO,0.01%,"32,657",
698,ISSAC,0.01%,"32,657",
699,MARY,0.01%,"29,391",
700,DUDLEY,0.01%,"29,391",
701,BROCK,0.01%,"29,391",
702,SANFORD,0.01%,"29,391",
703,COLBY,0.01%,"29,391",
704,CARMELO,0.01%,"29,391",
705,BARNEY,0.01%,"29,391",
706,NESTOR,0.01%,"29,391",
707,HOLLIS,0.01%,"29,391",
708,STEFAN,0.01%,"29,391",
709,DONNY,0.01%,"29,391",
710,ART,0.01%,"29,391",
711,LINWOOD,0.01%,"29,391",
712,BEAU,0.01%,"29,391",
713,WELDON,0.01%,"29,391",
714,GALEN,0.01%,"29,391",
715,ISIDRO,0.01%,"29,391",
716,TRUMAN,0.01%,"29,391",
717,DELMAR,0.01%,"29,391",
718,JOHNATHON,0.01%,"29,391",
719,SILAS,0.01%,"29,391",
720,FREDERIC,0.01%,"29,391",
721,DICK,0.01%,"29,391",
722,KIRBY,0.01%,"29,391",
723,IRWIN,0.01%,"29,391",
724,CRUZ,0.01%,"29,391",
725,MERLIN,0.01%,"29,391",
726,MERRILL,0.01%,"29,391",
727,CHARLEY,0.01%,"29,391",
728,MARCELINO,0.01%,"29,391",
729,LANE,0.01%,"29,391",
730,HARRIS,0.01%,"29,391",
731,CLEO,0.01%,"29,391",
732,CARLO,0.01%,"29,391",
733,TRENTON,0.01%,"29,391",
734,KURTIS,0.01%,"29,391",
735,HUNTER,0.01%,"29,391",
736,AURELIO,0.01%,"29,391",
737,WINFRED,0.01%,"29,391",
