RANK,SURNAME,Count,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6
32,YOUNG,"484,447",66.26%,24.67%,3.03%,0.79%,2.66%,2.58%
33,ALLEN,"482,607",67.59%,26.17%,0.54%,0.86%,2.38%,2.47%
34,KING,"465,422",70.16%,22.76%,1.23%,0.98%,2.31%,2.55%
35,WRIGHT,"458,980",65.80%,28.23%,0.51%,0.69%,2.41%,2.36%
36,SCOTT,"439,530",60.21%,32.92%,0.51%,1.18%,2.59%,2.58%
37,TORRES,"437,813",5.35%,0.57%,1.43%,0.20%,0.28%,92.16%
38,NGUYEN,"437,645",0.95%,0.12%,96.45%,0.03%,1.83%,0.63%
39,HILL,"434,827",64.36%,29.12%,0.53%,0.97%,2.51%,2.51%
40,FLORES,"433,969",4.87%,0.42%,2.08%,0.34%,0.36%,91.94%
41,GREEN,"430,182",56.84%,36.97%,0.44%,0.64%,2.47%,2.64%
42,ADAMS,"427,865",74.02%,19.90%,0.56%,0.79%,2.16%,2.57%
43,NELSON,"424,958",77.66%,15.97%,0.67%,1.16%,2.00%,2.55%
44,BAKER,"419,586",79.83%,14.44%,0.56%,0.87%,2.02%,2.28%
45,HALL,"407,076",72.65%,21.59%,0.64%,0.65%,2.22%,2.25%
46,RIVERA,"391,114",5.40%,0.95%,2.04%,0.18%,0.37%,91.06%
47,CAMPBELL,"386,157",73.66%,20.47%,0.53%,0.71%,2.13%,2.49%
48,MITCHELL,"384,486",61.02%,32.50%,0.48%,1.04%,2.50%,2.47%
49,CARTER,"376,966",58.20%,35.59%,0.45%,0.78%,2.65%,2.34%
50,ROBERTS,"376,774",77.27%,16.72%,0.61%,0.85%,2.15%,2.40%
51,GOMEZ,"365,655",5.12%,0.75%,1.01%,0.26%,0.26%,92.60%
52,PHILLIPS,"360,802",76.69%,17.09%,0.58%,1.03%,2.17%,2.44%
53,EVANS,"355,593",68.39%,25.72%,0.47%,0.74%,2.30%,2.39%
54,TURNER,"348,627",64.25%,30.13%,0.42%,0.60%,2.38%,2.23%
55,DIAZ,"347,636",5.19%,0.65%,1.19%,0.16%,0.25%,92.56%
56,PARKER,"336,221",69.17%,24.79%,0.54%,0.88%,2.35%,2.26%
57,CRUZ,"334,201",5.17%,0.80%,5.19%,0.27%,0.70%,87.88%
58,EDWARDS,"332,423",62.13%,31.63%,0.50%,0.77%,2.47%,2.50%
59,COLLINS,"329,770",71.61%,22.43%,0.49%,0.77%,2.23%,2.47%
60,REYES,"327,904",4.41%,0.59%,5.58%,0.24%,0.59%,88.58%
61,STEWART,"324,957",69.17%,24.86%,0.48%,0.77%,2.24%,2.49%
62,MORRIS,"318,884",73.59%,20.08%,0.57%,0.98%,2.24%,2.55%
63,MORALES,"311,777",4.63%,0.57%,1.18%,0.17%,0.21%,93.23%
64,MURPHY,"308,417",83.11%,11.53%,0.58%,0.68%,1.76%,2.34%
65,COOK,"302,589",81.80%,12.55%,0.57%,0.92%,1.98%,2.17%
66,ROGERS,"302,261",75.40%,18.53%,0.54%,0.82%,2.10%,2.62%
67,GUTIERREZ,"293,218",4.57%,0.24%,1.40%,0.25%,0.20%,93.33%
68,ORTIZ,"286,899",4.96%,0.64%,0.67%,0.37%,0.25%,93.11%
69,MORGAN,"286,280",76.07%,17.27%,0.54%,1.24%,2.10%,2.78%
70,COOPER,"280,791",67.93%,26.13%,0.50%,0.74%,2.31%,2.40%
71,PETERSON,"278,297",84.39%,10.09%,0.66%,0.74%,1.72%,2.40%
72,BAILEY,"277,845",72.45%,22.00%,0.50%,0.62%,2.16%,2.28%
73,REED,"277,030",71.29%,22.63%,0.51%,1.05%,2.30%,2.22%
74,KELLY,"267,394",78.09%,16.22%,0.64%,0.54%,1.81%,2.69%
75,HOWARD,"264,826",64.31%,29.49%,0.50%,0.87%,2.46%,2.37%
76,RAMOS,"263,464",6.49%,0.98%,4.89%,0.19%,0.65%,86.79%
77,KIM,"262,352",2.52%,0.39%,94.47%,0.02%,1.96%,0.65%
78,COX,"261,231",82.62%,12.07%,0.50%,0.67%,1.82%,2.33%
79,WARD,"260,464",75.58%,18.50%,0.49%,0.91%,2.08%,2.44%
80,RICHARDSON,"259,798",59.70%,33.63%,0.48%,1.10%,2.44%,2.65%
81,WATSON,"252,579",66.03%,27.90%,0.53%,0.82%,2.30%,2.41%
82,BROOKS,"251,663",60.22%,33.47%,0.48%,0.79%,2.56%,2.48%
83,CHAVEZ,"250,898",5.02%,0.21%,0.65%,0.94%,0.23%,92.96%
84,WOOD,"250,715",88.72%,5.57%,0.66%,0.84%,1.79%,2.42%
85,JAMES,"249,379",51.58%,38.86%,1.27%,2.58%,2.64%,3.08%
86,BENNETT,"247,599",76.56%,17.53%,0.53%,0.88%,1.99%,2.50%
87,GRAY,"246,116",68.68%,25.13%,0.54%,0.91%,2.33%,2.41%
88,MENDOZA,"242,771",4.11%,0.35%,4.91%,0.24%,0.42%,89.97%
89,RUIZ,"238,234",5.17%,0.44%,1.03%,0.22%,0.24%,92.89%
90,HUGHES,"236,271",78.39%,16.13%,0.50%,0.53%,1.97%,2.47%
91,PRICE,"235,251",73.93%,20.51%,0.51%,0.66%,2.14%,2.24%
92,ALVAREZ,"233,983",5.18%,0.60%,1.16%,0.38%,0.23%,92.45%
93,CASTILLO,"230,420",4.92%,0.72%,3.04%,0.59%,0.46%,90.26%
94,SANDERS,"230,374",60.78%,32.97%,0.41%,0.84%,2.43%,2.57%
95,PATEL,"229,973",2.10%,0.38%,94.78%,0.65%,1.65%,0.44%
96,MYERS,"229,895",84.50%,10.54%,0.50%,0.55%,1.80%,2.10%
97,LONG,"229,374",79.88%,12.10%,2.48%,1.32%,1.97%,2.24%
98,ROSS,"229,368",68.96%,24.46%,0.61%,0.90%,2.32%,2.75%
99,FOSTER,"227,764",69.65%,23.94%,0.55%,0.88%,2.33%,2.65%
100,JIMENEZ,"227,118",3.84%,0.29%,1.49%,0.20%,0.21%,93.97%
101,POWELL,"224,874",67.20%,27.12%,0.46%,0.62%,2.29%,2.31%
102,JENKINS,"222,653",57.76%,36.78%,0.39%,0.57%,2.42%,2.07%
103,PERRY,"221,741",68.32%,25.20%,0.57%,0.81%,2.43%,2.67%
104,RUSSELL,"221,558",77.05%,16.69%,0.57%,1.05%,2.18%,2.46%
105,SULLIVAN,"220,990",87.73%,7.13%,0.60%,0.57%,1.59%,2.39%
106,BELL,"220,599",61.11%,32.35%,0.55%,1.01%,2.51%,2.46%
107,COLEMAN,"219,070",49.43%,44.60%,0.40%,0.53%,2.79%,2.25%
108,BUTLER,"218,847",62.36%,31.54%,0.45%,0.84%,2.45%,2.35%
109,HENDERSON,"218,393",59.63%,33.98%,0.45%,0.86%,2.56%,2.51%
110,BARNES,"218,241",64.81%,29.28%,0.48%,0.75%,2.35%,2.33%
111,GONZALES,"214,758",9.83%,0.99%,3.80%,0.76%,0.56%,84.06%
112,FISHER,"214,703",82.58%,11.79%,0.55%,0.76%,1.89%,2.43%
113,VASQUEZ,"212,781",5.06%,0.51%,0.73%,0.29%,0.24%,93.17%
114,SIMMONS,"210,182",57.91%,36.15%,0.47%,0.67%,2.52%,2.29%
115,ROMERO,"208,614",8.65%,0.50%,1.30%,0.69%,0.37%,88.50%
116,JORDAN,"208,403",61.44%,30.73%,0.55%,0.72%,2.45%,4.11%
117,PATTERSON,"205,423",67.27%,26.80%,0.47%,0.68%,2.35%,2.43%
118,ALEXANDER,"204,621",58.19%,34.04%,1.24%,0.70%,2.66%,3.17%
119,HAMILTON,"201,746",70.21%,23.71%,0.54%,0.80%,2.29%,2.45%
120,GRAHAM,"201,159",70.02%,23.99%,0.51%,0.80%,2.13%,2.55%
121,REYNOLDS,"200,247",81.08%,13.21%,0.52%,0.71%,2.02%,2.45%
122,GRIFFIN,"198,406",63.77%,30.81%,0.44%,0.47%,2.28%,2.21%
123,WALLACE,"197,276",69.24%,24.70%,0.51%,0.77%,2.31%,2.47%
124,MORENO,"196,925",6.09%,0.43%,0.67%,0.37%,0.22%,92.23%
125,WEST,"195,818",75.48%,18.48%,0.49%,0.83%,2.27%,2.45%
126,COLE,"195,289",75.33%,18.89%,0.55%,0.72%,2.10%,2.41%
127,HAYES,"194,246",69.38%,24.69%,0.49%,0.81%,2.34%,2.29%
128,BRYANT,"192,773",58.46%,35.58%,0.39%,0.89%,2.47%,2.21%
129,HERRERA,"192,711",4.92%,0.36%,0.96%,0.51%,0.22%,93.03%
130,GIBSON,"190,667",72.14%,21.78%,0.46%,0.97%,2.34%,2.31%
131,ELLIS,"188,968",70.36%,23.47%,0.54%,0.66%,2.24%,2.73%
132,TRAN,"188,498",1.35%,0.10%,96.00%,0.03%,1.70%,0.81%
133,MEDINA,"188,497",5.69%,0.60%,1.92%,0.30%,0.33%,91.16%
134,AGUILAR,"186,512",4.03%,0.26%,1.64%,0.52%,0.23%,93.32%
135,STEVENS,"185,674",81.44%,11.82%,0.64%,1.33%,2.04%,2.74%
136,MURRAY,"184,910",74.92%,19.29%,0.57%,0.60%,2.02%,2.60%
137,FORD,"184,832",62.05%,32.00%,0.45%,0.61%,2.52%,2.37%
138,CASTRO,"184,134",7.29%,0.66%,3.74%,0.24%,0.64%,87.42%
139,MARSHALL,"183,922",66.03%,27.51%,0.58%,0.96%,2.34%,2.58%
140,OWENS,"182,719",65.85%,28.41%,0.36%,0.75%,2.47%,2.17%
141,HARRISON,"181,091",68.66%,24.45%,0.52%,1.39%,2.27%,2.70%
142,FERNANDEZ,"180,842",8.77%,1.15%,5.38%,0.18%,0.93%,83.58%
143,MCDONALD,"180,497",76.65%,17.28%,0.55%,0.78%,2.01%,2.73%
144,WOODS,"177,425",58.30%,35.30%,0.42%,0.88%,2.74%,2.35%
145,WASHINGTON,"177,386",5.17%,87.53%,0.30%,0.68%,3.78%,2.54%
146,KENNEDY,"176,865",80.82%,13.63%,0.62%,0.61%,1.87%,2.45%
147,WELLS,"176,230",74.00%,20.00%,0.49%,0.87%,2.22%,2.41%
148,VARGAS,"173,835",5.41%,0.42%,0.85%,0.18%,0.22%,92.92%
149,HENRY,"170,964",61.43%,30.68%,0.84%,1.87%,2.34%,2.84%
150,CHEN,"169,580",1.40%,0.30%,96.12%,0.02%,1.64%,0.52%
151,FREEMAN,"169,149",65.50%,28.34%,0.52%,0.95%,2.38%,2.30%
152,WEBB,"168,878",75.53%,19.08%,0.46%,0.66%,1.99%,2.29%
153,TUCKER,"167,446",70.01%,24.17%,0.45%,0.78%,2.25%,2.35%
154,GUZMAN,"167,044",4.11%,0.42%,1.29%,0.15%,0.27%,93.77%
155,BURNS,"165,925",80.26%,14.06%,0.59%,0.78%,1.83%,2.48%
156,CRAWFORD,"164,457",68.56%,25.65%,0.49%,0.75%,2.30%,2.24%
157,OLSON,"164,035",94.76%,0.40%,0.66%,0.72%,1.43%,2.03%
158,SIMPSON,"163,181",70.78%,23.09%,0.53%,0.78%,2.30%,2.53%
159,PORTER,"163,054",68.57%,25.40%,0.55%,0.72%,2.31%,2.45%
160,HUNTER,"162,440",60.78%,32.69%,0.48%,1.02%,2.63%,2.41%
161,GORDON,"161,833",64.25%,29.15%,0.62%,0.68%,2.26%,3.04%
162,MENDEZ,"161,717",4.48%,0.78%,0.48%,0.24%,0.18%,93.83%
163,SILVA,"161,633",32.61%,2.03%,2.01%,0.39%,1.62%,61.34%
164,SHAW,"160,400",72.07%,21.19%,1.48%,0.75%,2.15%,2.36%
165,SNYDER,"160,262",94.07%,1.46%,0.59%,0.52%,1.45%,1.92%
166,MASON,"160,213",68.82%,25.10%,0.53%,0.76%,2.38%,2.41%
167,DIXON,"159,480",54.25%,39.26%,0.43%,0.96%,2.61%,2.49%
168,MUNOZ,"158,483",4.89%,0.30%,0.91%,0.21%,0.21%,93.48%
169,HUNT,"158,421",73.57%,16.93%,0.61%,4.23%,2.35%,2.31%
170,HICKS,"158,320",67.37%,26.88%,0.42%,0.98%,2.23%,2.13%
171,HOLMES,"156,780",56.79%,37.28%,0.42%,0.76%,2.37%,2.38%
172,PALMER,"156,601",75.08%,18.57%,0.55%,0.81%,2.11%,2.87%
173,WAGNER,"155,795",92.47%,2.60%,0.58%,0.54%,1.40%,2.41%
174,BLACK,"154,738",74.63%,19.00%,0.53%,1.44%,2.08%,2.33%
175,ROBERTSON,"153,666",73.42%,20.61%,0.52%,0.89%,2.11%,2.46%
176,BOYD,"153,469",63.18%,30.77%,0.51%,1.02%,2.36%,2.16%
177,ROSE,"153,397",82.08%,11.61%,0.72%,0.64%,1.99%,2.96%
178,STONE,"153,329",85.95%,8.13%,0.65%,0.95%,1.93%,2.39%
179,SALAZAR,"152,703",5.62%,0.27%,1.69%,0.46%,0.30%,91.65%
180,FOX,"152,334",88.08%,6.06%,0.56%,1.03%,1.84%,2.42%
181,WARREN,"152,147",70.08%,23.94%,0.55%,0.84%,2.26%,2.33%
182,MILLS,"151,942",77.50%,16.77%,0.51%,0.82%,2.06%,2.33%
183,MEYER,"150,895",94.84%,0.52%,0.71%,0.29%,1.37%,2.28%
184,RICE,"149,500",77.63%,16.74%,0.57%,0.74%,1.99%,2.33%
185,SCHMIDT,"147,034",95.15%,0.37%,0.61%,0.34%,1.19%,2.34%
186,GARZA,"147,005",6.66%,0.24%,0.17%,0.28%,0.15%,92.49%
187,DANIELS,"146,570",54.67%,38.54%,0.51%,0.91%,2.68%,2.70%
188,FERGUSON,"146,426",74.83%,19.19%,0.60%,0.62%,2.23%,2.53%
189,NICHOLS,"145,584",82.42%,11.88%,0.52%,0.76%,1.99%,2.43%
190,STEPHENS,"144,646",73.90%,20.31%,0.46%,0.67%,2.12%,2.54%
191,SOTO,"144,451",5.15%,0.48%,0.44%,0.26%,0.22%,93.45%
192,WEAVER,"143,837",84.41%,9.99%,0.52%,1.09%,1.87%,2.12%
193,RYAN,"143,452",91.65%,3.02%,0.89%,0.43%,1.46%,2.55%
194,GARDNER,"142,894",75.01%,19.40%,0.56%,0.70%,2.04%,2.29%
195,PAYNE,"142,601",71.55%,22.63%,0.45%,0.58%,2.37%,2.42%
196,GRANT,"142,277",55.36%,37.91%,0.52%,1.08%,2.35%,2.79%
197,DUNN,"141,427",80.08%,14.39%,0.75%,0.59%,1.94%,2.25%
198,KELLEY,"140,693",83.78%,10.80%,0.55%,0.66%,2.03%,2.18%
199,SPENCER,"139,951",69.41%,23.22%,0.76%,1.47%,2.48%,2.67%
200,HAWKINS,"139,751",61.08%,32.75%,0.48%,0.69%,2.50%,2.50%
201,ARNOLD,"138,893",81.27%,13.34%,0.57%,0.55%,1.87%,2.41%
202,PIERCE,"138,629",80.98%,12.86%,0.53%,1.06%,2.10%,2.47%
203,VAZQUEZ,"138,322",3.53%,0.35%,0.18%,0.06%,0.12%,95.75%
204,HANSEN,"137,977",94.22%,0.53%,0.74%,0.49%,1.47%,2.54%
205,PETERS,"137,513",82.86%,10.41%,0.98%,1.33%,1.86%,2.55%
206,SANTOS,"137,232",20.06%,2.31%,13.32%,0.27%,1.85%,62.20%
207,HART,"137,184",80.54%,13.64%,0.56%,0.73%,2.01%,2.52%
208,BRADLEY,"136,720",69.12%,25.09%,0.44%,0.82%,2.19%,2.34%
209,KNIGHT,"136,713",72.31%,21.61%,0.52%,0.90%,2.17%,2.50%
210,ELLIOTT,"135,765",81.62%,12.96%,0.54%,0.66%,2.00%,2.21%
211,CUNNINGHAM,"135,718",73.16%,21.18%,0.53%,0.48%,2.07%,2.58%
212,DUNCAN,"135,187",76.39%,17.33%,0.52%,0.99%,2.21%,2.55%
213,ARMSTRONG,"135,044",72.39%,21.01%,0.58%,0.93%,2.31%,2.79%
214,HUDSON,"134,963",66.88%,27.42%,0.46%,0.84%,2.20%,2.20%
215,CARROLL,"134,317",82.95%,11.48%,0.61%,0.67%,1.92%,2.36%
216,LANE,"134,227",77.14%,16.88%,0.61%,0.92%,2.12%,2.33%
217,RILEY,"133,872",72.79%,21.27%,0.51%,0.87%,2.08%,2.48%
218,ANDREWS,"133,799",71.78%,21.58%,0.78%,1.09%,2.20%,2.57%
219,ALVARADO,"133,501",4.29%,0.33%,0.53%,0.23%,0.20%,94.42%
220,RAY,"133,171",74.97%,17.54%,1.94%,0.93%,2.05%,2.56%
221,DELGADO,"132,985",5.57%,0.72%,0.80%,0.19%,0.25%,92.47%
222,BERRY,"132,812",70.66%,23.11%,0.56%,0.80%,2.34%,2.53%
223,PERKINS,"131,440",69.45%,24.60%,0.53%,0.73%,2.33%,2.37%
224,HOFFMAN,"131,401",94.08%,1.26%,0.63%,0.56%,1.34%,2.12%
225,JOHNSTON,"131,373",91.62%,2.41%,0.68%,0.83%,1.84%,2.62%
226,MATTHEWS,"131,303",63.37%,30.67%,0.62%,0.58%,2.36%,2.39%
227,PENA,"130,776",5.34%,0.52%,1.09%,0.31%,0.24%,92.50%
228,RICHARDS,"130,529",78.67%,14.86%,0.66%,1.04%,1.96%,2.81%
229,CONTRERAS,"130,164",4.19%,0.21%,0.55%,0.25%,0.16%,94.64%
230,WILLIS,"130,152",62.22%,31.07%,0.51%,1.33%,2.55%,2.31%
231,CARPENTER,"129,898",86.21%,8.49%,0.57%,0.68%,1.87%,2.18%
232,LAWRENCE,"129,699",68.87%,24.65%,0.74%,0.93%,2.30%,2.50%
233,SANDOVAL,"128,948",5.29%,0.21%,0.55%,1.77%,0.25%,91.93%
234,GUERRERO,"128,677",4.55%,0.33%,2.20%,0.22%,0.43%,92.27%
235,GEORGE,"128,625",66.47%,18.46%,7.62%,2.24%,2.04%,3.16%
236,CHAPMAN,"127,939",79.51%,14.62%,0.57%,0.81%,2.03%,2.47%
237,RIOS,"127,794",4.99%,0.44%,0.43%,0.32%,0.22%,93.61%
238,ESTRADA,"127,470",4.58%,0.43%,1.66%,0.20%,0.28%,92.86%
239,ORTEGA,"127,256",4.77%,0.29%,1.15%,0.43%,0.25%,93.11%
240,WATKINS,"127,083",62.03%,32.27%,0.42%,0.64%,2.56%,2.09%
241,GREENE,"126,101",67.70%,26.54%,0.48%,0.73%,2.34%,2.21%
242,NUNEZ,"125,350",5.28%,0.67%,0.83%,0.26%,0.23%,92.72%
243,WHEELER,"125,058",80.96%,13.29%,0.50%,0.93%,1.97%,2.35%
244,VALDEZ,"124,995",6.29%,0.48%,3.35%,0.65%,0.56%,88.66%
245,HARPER,"124,461",67.90%,26.22%,0.49%,0.72%,2.36%,2.31%
246,BURKE,"122,877",85.93%,8.76%,0.68%,0.54%,1.68%,2.41%
247,LARSON,"122,587",94.79%,0.49%,0.74%,0.62%,1.41%,1.95%
248,SANTIAGO,"122,212",5.41%,1.31%,4.50%,0.14%,0.58%,88.06%
249,MALDONADO,"121,526",4.97%,0.50%,0.40%,0.19%,0.23%,93.71%
250,MORRISON,"121,130",79.11%,14.82%,0.61%,0.98%,1.99%,2.49%
251,FRANKLIN,"120,621",54.38%,38.76%,0.54%,0.83%,2.78%,2.70%
252,CARLSON,"120,552",94.83%,0.46%,0.77%,0.49%,1.38%,2.07%
253,AUSTIN,"119,706",67.47%,26.01%,0.61%,0.80%,2.34%,2.78%
254,DOMINGUEZ,"119,304",5.04%,0.38%,1.03%,0.25%,0.21%,93.09%
255,CARR,"119,076",73.61%,20.82%,0.49%,0.59%,2.08%,2.41%
256,LAWSON,"119,053",73.84%,20.74%,0.43%,0.65%,2.15%,2.20%
257,JACOBS,"118,614",74.28%,16.71%,0.59%,3.75%,2.16%,2.52%
258,OBRIEN,"118,557",93.85%,1.29%,0.76%,0.37%,1.42%,2.32%
259,LYNCH,"117,708",82.30%,11.74%,0.59%,1.07%,1.78%,2.52%
260,SINGH,"116,749",4.29%,4.48%,82.77%,1.15%,4.81%,2.50%
261,VEGA,"116,673",5.53%,0.56%,0.73%,0.22%,0.29%,92.68%
262,BISHOP,"116,618",84.44%,10.14%,0.61%,0.57%,1.86%,2.37%
263,MONTGOMERY,"115,953",67.86%,26.23%,0.59%,0.61%,2.37%,2.35%
264,OLIVER,"115,900",64.19%,27.45%,0.68%,0.74%,2.43%,4.52%
265,JENSEN,"115,679",93.97%,0.44%,0.73%,0.82%,1.40%,2.64%
266,HARVEY,"115,662",68.00%,25.00%,0.52%,1.71%,2.25%,2.52%
267,WILLIAMSON,"114,959",77.17%,17.41%,0.50%,0.70%,1.94%,2.27%
268,GILBERT,"114,940",77.80%,15.92%,0.57%,0.69%,2.04%,2.98%
269,DEAN,"114,030",76.61%,16.82%,1.06%,0.68%,2.20%,2.63%
270,SIMS,"113,374",54.29%,39.89%,0.41%,0.55%,2.62%,2.24%
271,ESPINOZA,"112,154",4.03%,0.23%,0.38%,0.27%,0.17%,94.91%
272,HOWELL,"112,041",79.48%,15.08%,0.46%,0.72%,1.80%,2.46%
273,LI,"111,786",1.49%,0.19%,96.78%,0.02%,0.89%,0.63%
274,WONG,"111,371",3.48%,0.79%,86.49%,0.04%,5.20%,4.00%
275,REID,"111,360",59.83%,34.10%,0.61%,0.56%,2.28%,2.62%
276,HANSON,"111,144",92.11%,2.85%,0.70%,0.67%,1.55%,2.11%
277,LE,"110,967",1.49%,0.23%,95.59%,0.03%,1.92%,0.75%
278,MCCOY,"110,744",66.88%,26.71%,0.46%,0.89%,2.43%,2.64%
279,GARRETT,"110,697",69.96%,24.45%,0.44%,0.60%,2.34%,2.20%
280,BURTON,"110,529",67.32%,27.06%,0.53%,0.51%,2.25%,2.34%
281,FULLER,"110,116",73.22%,21.06%,0.60%,0.63%,2.16%,2.33%
282,WANG,"109,883",2.59%,0.29%,95.24%,0.02%,1.50%,0.35%
283,WEBER,"109,433",94.29%,1.29%,0.63%,0.36%,1.25%,2.18%
284,WELCH,"108,987",83.47%,10.44%,0.54%,1.11%,1.90%,2.55%
285,ROJAS,"108,421",4.12%,0.37%,0.76%,0.12%,0.16%,94.46%
286,LUCAS,"107,690",69.10%,18.51%,1.63%,0.52%,2.19%,8.05%
287,MARQUEZ,"107,533",5.10%,0.54%,2.83%,0.37%,0.46%,90.70%
288,FIELDS,"107,522",57.66%,35.78%,0.39%,1.24%,2.66%,2.28%
289,PARK,"106,696",23.34%,0.79%,72.98%,0.16%,1.74%,1.00%
290,YANG,"106,033",1.03%,0.20%,96.81%,0.02%,1.50%,0.45%
291,LITTLE,"105,936",70.11%,24.26%,0.44%,1.26%,1.93%,2.01%
292,BANKS,"105,833",39.27%,54.51%,0.36%,0.43%,2.98%,2.45%
293,PADILLA,"105,365",6.15%,0.40%,2.10%,0.79%,0.41%,90.16%
294,DAY,"105,091",83.08%,10.44%,1.02%,1.08%,1.97%,2.40%
295,WALSH,"105,079",94.48%,1.11%,0.65%,0.23%,1.35%,2.20%
296,BOWMAN,"105,007",80.82%,13.62%,0.48%,0.80%,2.05%,2.23%
297,SCHULTZ,"104,888",94.81%,0.70%,0.59%,0.41%,1.28%,2.22%
298,LUNA,"104,518",8.15%,0.40%,1.84%,0.41%,0.41%,88.78%
299,FOWLER,"104,515",81.41%,12.89%,0.48%,0.96%,2.10%,2.16%
300,MEJIA,"104,057",3.37%,0.45%,1.33%,0.14%,0.20%,94.51%
301,DAVIDSON,"103,930",84.38%,10.08%,0.65%,0.65%,1.88%,2.35%
302,ACOSTA,"103,418",6.96%,0.62%,2.26%,0.26%,0.43%,89.48%
303,BREWER,"103,318",81.30%,12.64%,0.42%,1.35%,2.09%,2.19%
304,MAY,"103,306",83.55%,9.57%,1.22%,0.73%,1.89%,3.04%
305,HOLLAND,"102,538",76.77%,17.67%,0.46%,0.57%,2.16%,2.37%
306,JUAREZ,"101,949",3.42%,0.22%,0.39%,0.16%,0.15%,95.66%
307,NEWMAN,"101,931",83.03%,11.08%,0.61%,0.69%,1.99%,2.60%
308,PEARSON,"101,836",72.14%,22.51%,0.56%,0.41%,2.14%,2.24%
309,CURTIS,"101,801",77.90%,15.84%,0.53%,1.03%,2.13%,2.57%
310,CORTEZ,"101,694",6.00%,0.70%,2.92%,0.29%,0.44%,89.65%
311,DOUGLAS,"101,458",58.62%,34.67%,0.52%,0.70%,2.69%,2.80%
312,SCHNEIDER,"101,290",95.35%,0.43%,0.59%,0.27%,1.20%,2.16%
313,JOSEPH,"100,959",29.59%,54.19%,9.76%,0.99%,2.49%,2.98%
314,BARRETT,"100,104",80.70%,13.40%,0.67%,0.62%,1.96%,2.65%
315,NAVARRO,"99,807",6.66%,0.38%,4.04%,0.23%,0.55%,88.14%
316,FIGUEROA,"98,468",4.93%,0.84%,1.00%,0.15%,0.26%,92.82%
317,KELLER,"98,268",91.40%,3.86%,0.57%,0.46%,1.45%,2.26%
318,AVILA,"97,314",7.02%,0.43%,1.11%,0.23%,0.26%,90.96%
319,WADE,"97,040",64.94%,29.08%,0.47%,0.74%,2.44%,2.34%
320,MOLINA,"96,979",5.82%,0.51%,2.28%,0.64%,0.42%,90.32%
321,STANLEY,"96,867",78.79%,15.10%,0.74%,1.16%,1.95%,2.27%
322,HOPKINS,"96,810",73.56%,20.66%,0.48%,0.92%,2.25%,2.14%
